Tipo_Fundo_Classe;CNPJ_Fundo_Classe;Nome_Fundo_Classe;Data_Referencia;Versao;Data_Entrega;Link_Download;Parecer_Auditor
CLASSES - FII;32.140.405/0001-11;G5 ALLOCATION FUNDO DE INVESTIMENTO IMOBILIÁRIO;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001346;Sem ressalva e com ênfase
CLASSES - FII;32.317.313/0001-64;EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001558;Sem ressalva e sem ênfase
CLASSES - FII;32.400.250/0001-05;VECTIS JUROS REAL FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-06-30;2;2025-09-30;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1002209;Sem ressalva e sem ênfase
CLASSES - FII;32.441.656/0001-36;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RBR DESENVOLVIMENTO III RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-22;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=994954;Sem ressalva e sem ênfase
CLASSES - FII;32.527.552/0001-49;VIC DESENVOLVIMENTO - VINTAGE 20/21 FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1000931;Sem ressalva e sem ênfase
CLASSES - FII;32.527.626/0001-47;NEWPORT LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001721;Sem ressalva e sem ênfase
CLASSES - FII;32.527.683/0001-26;PLURAL RECEBÍVEIS IMOBILIÁRIOS FII - RESPONSABILIDADE LIMITADA;2025-09-29;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001727;Sem ressalva e sem ênfase
CLASSES - FII;32.667.306/0001-92;M8 FUNDO DE INVESTIMENTO IMOBILIÁRIO MULTIESTRATÉGIA PONSABILIDADE LIMITADA;2025-06-30;1;2025-09-05;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=985840;Sem ressalva e sem ênfase
CLASSES - FII;32.754.734/0001-52;VBI AGRO - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-26;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=999887;Sem ressalva e sem ênfase
CLASSES - FII;32.892.018/0001-31;HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;2025-06-30;1;2025-09-29;https://fnet.bmfbovespa.com.br/fnet/publico/downloadDocumento?id=1001472;Sem ressalva e sem ênfase
